SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalSalesAmount,SalesDate,TransactionNumber,CityID,CountryID
2719965,9,42318,1,11,0.0,931.5896897072189,2018-02-22 23:01:01.500,YN3CUQ37F4SFV93NPZAG,64,32
1825929,15,56369,1,15,0.0,585.7448791709281,2018-02-07 03:39:16.290,VD0U48DL7OCOQWVMD2VE,26,32
6622058,23,38836,1,10,0.0,124.5803702124103,2018-03-21 15:03:36.740,H63VJO5RD8GQY7MEDSAU,44,32
905005,18,65008,1,17,0.0,423.9892988896961,2018-04-30 23:25:17.390,FR9Y8QYDFN632JCN8343,42,32
5711146,21,72492,1,19,0.0,264.4058421980749,2018-01-21 19:57:21.200,MUMJNESSN3M2MXM3X3CQ,70,32
89078,8,58288,1,15,0.0,184.9461061479026,2018-01-21 21:56:22.760,Q7RGYWWJQOJ8GBFXZR4V,56,32
5278888,3,7558,1,2,0.0,513.427646321012,2018-03-28 19:42:11.410,SFWCWS3JG97J7TBYW37L,59,32
4177477,12,48362,1,13,0.0,353.269715293388,2018-01-31 11:01:31.730,UEHRWAFUCHOV98H53LNT,28,32
582711,12,90075,1,23,0.0,477.27584358970836,2018-01-19 08:06:31.680,0MHJXHR2DG5FXA7ACOQ4,36,32
2161479,21,52488,1,14,0.0,793.5422955495103,2018-03-23 16:20:05.790,8VTGJOYAQLNCJXBRCTHA,34,32
1477923,5,71743,1,19,0.1,623.0927380338518,2018-01-11 04:53:43.090,SHHM0NOQ0MUQ5OEP7EVW,84,32
1566165,11,66407,1,17,0.0,179.18057508586006,2018-03-24 17:50:44.800,NMWU2P1YIJFY3HK9B869,76,32
1896155,6,92183,1,24,0.2,758.8851049237602,2018-04-04 09:57:45.280,0PEFCVYNL2UARQOV8Z1J,71,32
1092710,7,95375,1,25,0.1,540.4101061577936,2018-03-16 20:19:53.350,94Y9WYX6G06X6XKY68U5,28,32
6343115,6,72761,1,19,0.2,263.70255757285133,2018-02-09 07:32:49.570,JFWVZZWN6R1TXRCKQ548,13,32
985290,20,49906,1,13,0.0,335.28604579791545,2018-01-18 20:32:31.060,Y4EQ8JXX8H2ASCAMK8Y9,92,32
33828,18,64033,1,17,0.0,633.2937038021502,2018-02-16 02:31:51.610,SOPN5NV5UJWM4QS0AQWG,71,32
2171211,5,71251,1,19,0.2,271.9708926540367,2018-03-20 15:21:01.420,9F4YB4RWB3V7Q9QHCOQD,44,32
1565922,13,33451,2,9,0.0,907.9673242609746,2018-04-07 20:11:11.670,I60DNG98958GNXV6SZHR,8,32
3278233,10,84631,2,22,0.1,891.0656694160948,2018-01-30 01:13:30.560,4LB7EIMDJKSDDNDB6GD6,87,32
4878650,3,66196,2,17,0.0,540.0560008418421,2018-01-22 10:39:19.410,Y481R5T2DQTWO7QXKHJI,66,32
4664074,13,70959,2,18,0.2,621.3179839479615,2018-01-02 13:46:41.990,SP4I0YXKURGNY77LCVQ7,55,32
2011153,15,58204,2,15,0.0,386.8072135134111,2018-04-08 21:08:42.770,O1YY1WOP31J1HO6IW0SD,67,32
3947213,7,56492,2,15,0.0,984.9804752466491,2018-01-26 02:11:23.860,SM8KHHW763XQCQ9KY5LO,67,32
4436486,19,9085,2,3,0.0,15.590241683809486,2018-05-09 03:21:16.560,M9BOQU1C5YLZKQ2GVWVO,57,32
760180,6,15114,2,4,0.0,918.0106530419579,2018-02-24 20:20:13.910,G001K2GOLF8K5C362R8E,96,32
2221557,7,96399,2,25,0.0,316.97297102792743,2018-02-09 06:13:43.320,CLUSD70M7Y2DYTR9KB91,51,32
6164930,3,66448,2,17,0.0,380.3030728417548,2018-04-11 06:08:00.320,QOZKZEOKQ4PSXLFC4KPK,82,32
2726054,23,77467,2,20,0.0,752.6053739683567,2018-01-06 14:13:59.850,RHL3EI796VSQWJ9JSHCY,49,32
5800812,20,30417,2,8,0.0,784.4962387653688,2018-04-12 03:21:47.590,YU6B4NK5KKHQ56M31GAX,10,32
3918702,4,86861,2,22,0.0,358.5025432242115,2018-03-21 12:59:40.430,V474D9XZUXZPZDEW6861,14,32
4551143,13,33451,2,9,0.0,103.75746589120958,2018-02-19 00:24:45.060,HEEBPTDFS180653F1EJG,8,32
4267254,19,67766,2,18,0.0,464.89601085854173,2018-04-16 02:01:02.370,IWVIM0226WY3NFOUEK2F,75,32
3756499,10,65124,2,17,0.0,479.17113937572145,2018-01-06 03:50:00.150,1F3QP2UX78YFO4X0XVF0,6,32
1150698,9,60489,2,16,0.0,769.7071206574502,2018-04-05 23:23:43.020,TTDSTLBPWQNU3LQVOZSC,82,32
6089170,23,37297,2,10,0.0,116.38789417127973,2018-04-18 06:01:04.270,2SK42IQTDZ1SCUSE6YJA,10,32
3192976,15,58455,2,15,0.0,579.0730208575503,2018-04-22 07:07:56.510,P68XIPV4JFCTI7E6Q34Z,23,32
3098776,18,24520,2,7,0.0,342.6293308435822,2018-04-24 00:15:26.620,9Q2HYZ07NKDZAV44BCKM,51,32
2657068,19,7620,2,2,0.2,891.7866902214785,2018-04-27 10:48:01.570,0KJUP3NMI94YLQR1KHLK,58,32
4997050,23,58288,2,15,0.0,461.7439062041919,2018-03-05 10:20:18.470,KITKUFO35SRCYJBZXXNZ,56,32
3971763,10,3877,2,1,0.0,850.1961242875299,2018-01-17 17:45:04.170,Z04H14S842YA4CIM2H92,23,32
4637474,19,68276,3,18,0.0,237.8441360944145,2018-02-17 18:53:23.060,P46SBY3DCGVBAF66PYFL,34,32
4560263,15,18785,3,5,0.0,218.1458617913364,2018-04-02 21:22:27.920,FAFQQYTLVU4II9TMA5LJ,80,32
790575,10,43626,3,12,0.2,956.4376226733674,2018-04-12 00:16:51.900,84CHACUR65ZK0NCS1VY3,73,32
5001982,11,87708,3,23,0.0,161.2920517000649,2018-02-12 07:56:57.370,25Y8GO4B3YTTJ4OCS84B,65,32
5830944,15,17212,3,5,0.0,245.12369350742483,2018-02-01 15:21:33.930,BJ1TFZHXMXSI4335UZ3B,64,32
2845797,8,769,3,1,0.0,511.77452874246666,2018-03-21 04:02:03.560,PLOJOUXGIJB27UXU8SJH,51,32
3891553,13,92384,3,24,0.0,218.21170835778884,2018-01-22 02:28:31.880,GGFWEQXF5H4MEVJT4BI6,9,32
4200773,16,60485,3,16,0.0,168.3558452577758,2018-02-05 14:08:35.920,W2KMOJ5N9MRMKD42AMWJ,67,32
362358,9,22619,3,6,0.0,593.1079184083948,2018-04-26 12:44:45.560,SAT08U3YP4KSCKTDHKB1,81,32
1548464,3,47025,3,12,0.0,371.05601117760057,2018-05-02 18:06:35.330,4WN2U1KFXW5UE49KCBG1,36,32
